screenname,tweet,key
@Youka_Izumieshi,"#名刺代わりの小説10選

1．三浦綾子『天北原野』
2．〃『氷点』
3．〃『続・氷点』
4．〃『泥流地帯』
5．〃『石の森』
6．神林長平『言葉使い師』
7．〃『猶予の月』
8．ダイアナ・ウィン・ジョーンズ『九年目の魔法』
9．〃『私が幽霊だった時』
10.林芙美子『浮雲』

敬称略

10でおさまらないけど",2019-07-03_21:00:00
@edge_yo,"#名刺代わりの小説10選
鹿の王/上橋菜穂子
巨人達の星/JPホーガン
陰陽師/夢枕貘
余命１０年/小坂流加
EDGE/鈴木光司
空色勾玉/萩原規子
ついてくる/吉村達也
ジョゼと虎と魚たち/田辺聖子
将棋ボーイズ/小山田桐子
巷説百物語/京極夏彦

更新してみた",2019-07-03_21:00:00
@china_nako,"「屍鬼」
「スロウハイツの神様」
「砂糖菓子の弾丸は撃ちぬけない」
「空の境界」
「羊と鋼の森」
「舞姫」
「Another」
「シャープ・エッジ」
「奪取」
「残り全部バケーション」

#名刺代わりの小説10選
#読書好きな人と繋がりたい
#読書好きと繋がりたい",2018-07-23_21:00:00
@sukinakoto2016,#名刺代わりの小説10選 を書いたら、知らない人からもいいねとかフォローがあって、なんだか嬉しいなあ。ちょっと恥ずかしいな～照れるな～とか思っていたけど…。自分で書いた小説を公開するよりかは、よっぽど照れないね！（そして小説に関しては、照れるのを通り越しているので大丈夫！堂々！）,2018-07-23_21:00:00
@kazuki_share,"#読書垢 
始めたのでやります😊

コンビニ人間/村田沙耶香
海の底/有川浩
諦める力/為末大
人生の勝算/前田裕二
アルケミスト 夢を旅する少年/パウロ・コエーリョ
君の膵臓が食べたい/住野よる
僕はイエローでホワイトで、ちょっとブルー/プレイディみかこ
10冊目は未定。

 #名刺代わりの小説10選",2020-09-17_09:00:00
@MK72651698,"虐殺機関
ハーモニー　伊藤計劃好き
君に舞い降りる白　　エモい　
塩の街　　有川浩ではこれが好き
太陽の塔
四畳半神話大系　　森見登美彦好き

#名刺代わりの小説10選",2020-06-22_21:00:00
@ezb0p,"#名刺代わりの小説10選
ミステリー編
『十角館の殺人』綾辻行人
『殺戮に至る病』我孫子武丸
『少年検閲官』北山猛邦
『葉桜の季節に君を想うということ』　
　　　　　　　　　　　　　歌野晶午
『折れた竜骨』米澤穂信
『鍵の掛かった男』有栖川有栖
『異邦の騎士』島田荘司",2020-06-22_21:00:00
@asdirodo,"作者被りokでもう一度

有川浩
・図書館戦争
・キケン

重松清
・ナイフ
・きみの友だち
・青い鳥

安部公房
・赤い繭

森絵都
・DIVE!!
・カラフル

貴志祐介
・悪の教典

山田悠介
・スイッチを押すとき

 #名刺代わりの小説10選",2020-06-22_21:00:00
@MK72651698,"続き

永遠のゼロ　　大人になって理解した。
海賊と呼ばれた男　ページをめくる手が止まらない...！
先輩と僕　続編待ってるよ...！
ゼロの使い魔　私の青春時代。

#名刺代わりの小説10選",2020-06-22_21:00:00
"Replying to
          @MK72651698","#名刺代わりの小説10選
ファンタジーその他編
『ブレイブ・ストーリー』宮部みゆき
『獣の奏者』上橋菜穂子
『月の影 影の海』小野不由美
『フーガはユーガ』伊坂幸太郎
『エムブリオ奇譚』山白朝子
『滝夜叉姫』夢枕獏
『マルドゥック・スクランブル』
　　　　　　　　　　　　　冲方丁",2020-06-22_21:00:00
@ezb0p,"#名刺代わりの小説10選
ラッシュライフ / 伊坂幸太郎
グラスホッパー / 伊坂幸太郎
長い長い殺人 / 宮部みゆき
すべてがFになる / 森博嗣
告白 / 湊かなえ
幻夜 / 東野圭吾
白夜行/ 東野圭吾
太郎物語 / 曽野綾子
葉桜の季節に君を想うということ / 歌野晶午
チーム・バチスタの栄光 / 海堂尊",2020-06-22_21:00:00
@hygge_book,"#名刺代わりの小説10選
よるのばけもの/住野よる
四月になれば彼女は/川村元気
サイレンス/秋吉理香子
阪急電車/有川浩
リバーシブル・ラブ/喜友名トト
優しい死神の飼い方/知念実希人
時給三〇〇円の死神/藤まる
15歳のテロリスト/松村涼哉
豆の上で眠る/湊かなえ
コンビニ人間/村田沙耶香",2020-06-22_21:00:00
@LeahHaida,"#名刺代わりの小説10選
『吸血鬼ドラキュラ』ブラム・ストーカー
『そして誰もいなくなった』アガサ・クリスティー
『小鳥たち』アナイス・ニン
『チャタレイ夫人の恋人』D・H・ロレンス
『ジェイン・エア』シャーロット・ブロンテ",2020-07-16_15:00:00
@yuka24985785,"#名刺代わりの小説10選

『西の魔女が死んだ』梨木香歩
『さくら』西加奈子
『ワイルド・ソウル』垣根涼介
『白夜行』東野圭吾
『流星の絆』東野圭吾
『重力ピエロ』伊坂幸太郎
『ジェノサイド』高野和明
『葉桜の季節に君を想うということ』歌野昌午
『四畳半神話体系』森見登美彦",2020-07-16_15:00:00
@saki200305,"#名刺代わりの小説10選 
陽気なギャング/伊坂幸太郎
ここは退屈迎えに来て/山内マリコ
夜は短し歩けよ乙女/森見登美彦
放課後のキイノート/山田詠美
下鴨アンティーク/白川紺子
ショートソング/枡野浩一
阿修羅ガール/舞城王太郎
ヴィヨンの妻/太宰治
キノの旅/時雨沢恵一
船を編む/三浦しをん",2020-07-16_15:00:00
