auth,co,val,val_sum,val_norm
佐野徹夜,住野よる,0.5333333333333333,10.841293300830978,0.20457012607148106
佐野徹夜,三秋縋,0.2,5.969030186851148,0.09251277581906939
佐野徹夜,知念実希人,0.17777777777777778,9.067208452321866,0.07206615667862251
佐野徹夜,宗田理,0.08888888888888889,0.8803084087308942,0.06941504240246842
佐野徹夜,織守きょうや,0.06666666666666667,0.1935974025974026,0.06237532790068523
佐野徹夜,伊坂幸太郎,0.2222222222222222,59.30297453520922,0.053839721704815456
佐野徹夜,有川浩,0.2,56.13864680316211,0.049078435077414884
佐野徹夜,米澤穂信,0.15555555555555556,27.144117441933485,0.045797429536985026
佐野徹夜,湊かなえ,0.13333333333333333,23.706679274102182,0.040721059282978214
佐野徹夜,辻村深月,0.15555555555555556,43.84774799802103,0.040500069734158775
保坂和志,高橋源一郎,0.2727272727272727,1.3672561561726666,0.19377356961839698
保坂和志,村上春樹,0.6363636363636364,47.79772632821864,0.16224287114342195
保坂和志,島田雅彦,0.18181818181818182,0.6992185007974483,0.1479508447859373
保坂和志,車谷長吉,0.18181818181818182,1.4807204933529632,0.12671608022686082
保坂和志,町田康,0.18181818181818182,5.430458190012184,0.0866682688056824
保坂和志,村上龍,0.2727272727272727,24.511052519870056,0.08253720815224476
保坂和志,梨木香歩,0.18181818181818182,20.053457453477158,0.05817213346239844
保坂和志,森博嗣,0.18181818181818182,22.436827599117688,0.0563766638515211
保坂和志,上橋菜穂子,0.18181818181818182,22.832044881448617,0.056105465262504386
倉橋由美子,森茉莉,0.17391304347826086,0.777798567588109,0.13894786239249385
倉橋由美子,佐藤亜紀,0.13043478260869565,0.6192665726672489,0.10822339002605776
倉橋由美子,原尞,0.08695652173913043,0.08695652173913043,0.08430197816643589
倉橋由美子,大江健三郎,0.17391304347826086,8.440756160620708,0.07209578666847125
倉橋由美子,津原泰水,0.08695652173913043,0.9958133101635724,0.06627101366537581
倉橋由美子,石川淳,0.08695652173913043,1.2051419241548205,0.06361285195029041
倉橋由美子,安部公房,0.17391304347826086,16.593351317454445,0.058740363109073636
倉橋由美子,澁澤龍彦,0.08695652173913043,1.8406795983976176,0.057317788860805914
倉橋由美子,井上靖,0.08695652173913043,1.8876533071094639,0.05693309685830883
倉橋由美子,連城三紀彦,0.08695652173913043,2.006408129571405,0.05599975078484594
倉知淳,深水黎一郎,0.26666666666666666,0.408042328042328,0.23394728515203012
倉知淳,綾辻行人,0.6,32.67545671697358,0.16823051287571855
倉知淳,乾くるみ,0.2,1.0611477237320481,0.1504242242019131
倉知淳,西澤保彦,0.2,1.2649342098550513,0.14470842431152137
倉知淳,有栖川有栖,0.4,13.775865709235623,0.14270395916250256
倉知淳,我孫子武丸,0.26666666666666666,6.590049833990604,0.11953269356232117
倉知淳,米澤穂信,0.4,27.144117441933485,0.11776481880939008
倉知淳,道尾秀介,0.26666666666666666,8.148046441244697,0.11177857552539257
倉知淳,麻耶雄嵩,0.2,4.92293506770899,0.09834984353811999
倉知淳,小林泰三,0.2,5.028647839960831,0.09768980258101352
光瀬龍,ドストエフスキー,0.3333333333333333,9.710586072564213,0.1322739867708546
光瀬龍,宮沢賢治,0.3333333333333333,20.69637905706855,0.10570727220848176
光瀬龍,夏目漱石,0.3333333333333333,38.102306316070724,0.08986696340155927
六道慧,舞城王太郎,1.0,5.866117492744569,0.4651278480991248
六道慧,貫井徳郎,0.4,3.796713505110556,0.21343504289267035
六道慧,道尾秀介,0.4,8.148046441244697,0.16766786328808886
六道慧,伊藤計劃,0.4,23.075302557038327,0.12307215947333648
六道慧,有川浩,0.4,56.13864680316211,0.09815687015482977
内田康夫,北方謙三,0.18181818181818182,6.019902502132066,0.08387598762253422
内田康夫,西加奈子,0.18181818181818182,9.071746190547879,0.07369252420232741
内田康夫,星新一,0.18181818181818182,12.25159629088717,0.0671897599466227
内田康夫,東野圭吾,0.2727272727272727,58.05049490549634,0.06640424111724315
内田康夫,田中芳樹,0.18181818181818182,13.540441578705448,0.06519983237776597
内田康夫,有栖川有栖,0.18181818181818182,13.775865709235623,0.0648654359829557
内田康夫,貴志祐介,0.18181818181818182,25.531346081399935,0.05441898016357695
内田康夫,綾辻行人,0.18181818181818182,32.67545671697358,0.05097894329567229
