auth,co,val
江國香織,大江健三郎,0.011594202898550725
江國香織,中島敦,0.011594202898550725
江國香織,村上龍,0.011594202898550725
江國香織,三浦綾子,0.011594202898550725
江國香織,池澤夏樹,0.011594202898550725
江國香織,万城目学,0.011594202898550725
吉本ばなな,村上春樹,0.26153846153846155
吉本ばなな,恩田陸,0.2564102564102564
吉本ばなな,江國香織,0.2205128205128205
吉本ばなな,伊坂幸太郎,0.16923076923076924
吉本ばなな,太宰治,0.1641025641025641
吉本ばなな,小川洋子,0.14871794871794872
吉本ばなな,三浦しをん,0.13333333333333333
吉本ばなな,東野圭吾,0.13333333333333333
吉本ばなな,森見登美彦,0.12307692307692308
吉本ばなな,夏目漱石,0.11794871794871795
吉本ばなな,辻村深月,0.1076923076923077
吉本ばなな,三島由紀夫,0.10256410256410256
吉本ばなな,川上弘美,0.10256410256410256
吉本ばなな,原田マハ,0.09230769230769231
吉本ばなな,宮沢賢治,0.08717948717948718
吉本ばなな,有川浩,0.08717948717948718
吉本ばなな,梨木香歩,0.08717948717948718
吉本ばなな,山田詠美,0.08717948717948718
吉本ばなな,ミヒャエル・エンデ,0.07692307692307693
吉本ばなな,森絵都,0.07692307692307693
吉本ばなな,重松清,0.06666666666666667
吉本ばなな,宮本輝,0.06666666666666667
吉本ばなな,宮部みゆき,0.06666666666666667
吉本ばなな,角田光代,0.05641025641025641
吉本ばなな,朝井リョウ,0.05641025641025641
吉本ばなな,宮下奈都,0.05641025641025641
吉本ばなな,貴志祐介,0.05641025641025641
吉本ばなな,谷崎潤一郎,0.05128205128205128
吉本ばなな,瀬尾まいこ,0.05128205128205128
吉本ばなな,西加奈子,0.05128205128205128
吉本ばなな,浅田次郎,0.046153846153846156
吉本ばなな,川端康成,0.046153846153846156
吉本ばなな,綾辻行人,0.046153846153846156
吉本ばなな,長野まゆみ,0.046153846153846156
吉本ばなな,森博嗣,0.041025641025641026
吉本ばなな,村上龍,0.041025641025641026
吉本ばなな,米澤穂信,0.041025641025641026
吉本ばなな,司馬遼太郎,0.041025641025641026
吉本ばなな,島本理生,0.041025641025641026
吉本ばなな,湊かなえ,0.041025641025641026
吉本ばなな,芥川龍之介,0.041025641025641026
吉本ばなな,村田沙耶香,0.041025641025641026
吉本ばなな,京極夏彦,0.035897435897435895
吉本ばなな,田辺聖子,0.035897435897435895
吉本ばなな,石田衣良,0.035897435897435895
吉本ばなな,遠藤周作,0.035897435897435895
吉本ばなな,赤川次郎,0.035897435897435895
吉本ばなな,乙一,0.035897435897435895
吉本ばなな,有栖川有栖,0.03076923076923077
吉本ばなな,あさのあつこ,0.03076923076923077
吉本ばなな,平野啓一郎,0.03076923076923077
吉本ばなな,上橋菜穂子,0.03076923076923077
吉本ばなな,筒井康隆,0.03076923076923077
吉本ばなな,高村薫,0.03076923076923077
吉本ばなな,中村文則,0.03076923076923077
吉本ばなな,荻原規子,0.03076923076923077
吉本ばなな,江戸川乱歩,0.03076923076923077
吉本ばなな,伊藤計劃,0.03076923076923077
吉本ばなな,桜庭一樹,0.03076923076923077
吉本ばなな,新井素子,0.02564102564102564
吉本ばなな,又吉直樹,0.02564102564102564
吉本ばなな,灰谷健次郎,0.02564102564102564
吉本ばなな,川上未映子,0.02564102564102564
吉本ばなな,百田尚樹,0.02564102564102564
吉本ばなな,梶井基次郎,0.02564102564102564
吉本ばなな,山本文緒,0.02564102564102564
吉本ばなな,西尾維新,0.02564102564102564
吉本ばなな,沢木耕太郎,0.02564102564102564
吉本ばなな,夢野久作,0.02564102564102564
吉本ばなな,小野不由美,0.02564102564102564
吉本ばなな,田中芳樹,0.02564102564102564
吉本ばなな,山崎豊子,0.02564102564102564
吉本ばなな,住野よる,0.020512820512820513
吉本ばなな,ヘッセ,0.020512820512820513
吉本ばなな,小林泰三,0.020512820512820513
吉本ばなな,綿矢りさ,0.020512820512820513
吉本ばなな,モンゴメリ,0.020512820512820513
吉本ばなな,佐藤多佳子,0.020512820512820513
吉本ばなな,凪良ゆう,0.020512820512820513
吉本ばなな,よしもとばなな,0.020512820512820513
吉本ばなな,有吉佐和子,0.020512820512820513
吉本ばなな,中島らも,0.020512820512820513
吉本ばなな,サリンジャー,0.020512820512820513
吉本ばなな,北村薫,0.020512820512820513
吉本ばなな,三秋縋,0.020512820512820513
吉本ばなな,柳広司,0.020512820512820513
